"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"256",="4915","致伸","59.5","2021","273","48.4","148","132","215","357","4.45","76","22.6","3.65","495","285","10.3","15.9","330","164","31.14","38"
"257",="2539","櫻花建","37.05","2021","272","1.66","0.01","190","1.67","209","0.23","0.56","0.02","0.34","210","85.6","39.5","0.05","125","84.9","13.24","43"
"258","00785B","富邦金融投等債","34.04","2021","270","","","","","","","","","","","","","","","","",""
"259",="8016","矽創","224.5","2021","270","79.3","20.4","24.5","154","181","18.2","14.6","0.49","10.8","227","69.8","","3.65","74.8","152","98.12","89"
"260",="6213","聯茂","74.3","2021","270","44.2","135","51.7","179","244","0.3","65","0.08","47.1","362","143","0","0.34","149","213","55.66","43"
"261",="3042","晶技","86.9","2021","269","36.3","41.1","26.4","86","114","27.7","58.4","0.52","5.06","208","48.9","28.5","2.03","80.4","128","41.19","70"
"262",="6278","台表科","91.2","2021","267","82.2","222","58.5","321","385","2.53","127","","30.6","555","348","25.3","0.96","396","159","54.24","43"
"263",="6146","耕興","273","2021","265","21.1","10.5","0.76","32.3","34.3","0.75","24","","0.23","61.3","12.4","","0.05","15.2","46.2","44.81","83"
"264",="1723","中碳","111.5","2021","264","6.22","9.95","9.78","25.7","36.9","27.8","39.4","","5.81","117","22.5","11","1.53","41.1","76.2","31.67","57"
"265",="4123","晟德","44.4","2021","264","2.67","5.73","1.01","54.2","109","188","7.42","0.03","0.15","304","26.8","37.9","0.02","93.5","211","37.5","55"
"266",="2481","強茂","68.9","2021","264","34.1","48.3","24.2","115","145","34.7","53.1","2.18","14","267","82.5","45.5","3.15","135","131","33.75","53"
"267",="2723","美食-KY","146.5","2021","264","50.1","4.17","7.64","71.3","82.8","8.47","56.9","0.48","9.06","208","61.7","0","1.95","99","109","61.06","57"
"268",="1319","東陽","44.25","2021","262","14.5","37.7","30.5","52.5","86.4","38.9","189","12.6","12.6","345","69.1","45.7","3.63","122","223","36.58","43"
"269",="8150","南茂","35.95","2021","261","59.1","64.3","32.1","131","165","43.2","201","","5.87","425","71.8","93.7","6.45","181","244","33.53","64"
"270",="3682","亞太電","6.03","2021","260","7.04","18.3","2.54","28.2","37.4","1.5","97.8","94.7","149","457","106","26.2","2.93","163","294","6.81","30"
"271",="1707","葡萄王","175","2021","259","36.4","3.14","7.19","42.1","49.9","15.1","72.1","0.33","1.06","141","32.9","0.87","0.44","36.3","104","60.68","74"
"272","00637L","元大滬深300正2","15.07","","259","","","","","","","","","","","","","","","","",""
"273",="6005","群益證","11.85","2021","257","98.1","119","","1,492","1,860","86.3","30.5","36.2","15.9","2,037","1,595","5.76","9.77","1,622","415","17.84","64"
"274","2887E","台新戊特","51.4","","257","","","","","","","","","","","","","","","","",""
"275",="2897","王道銀行","9.4","2021","257","118","201","","","","3,502","25.5","19.5","12.9","5,751","","","27.2","5,199","552","12.02","67"
"276",="6561","是方","358.5","2021","254","10.2","2.15","0.02","12.4","29.4","1.19","5.72","0.57","0.42","54.9","6.03","","0.76","24","30.9","43.68","77"
"277",="6257","矽格","55.8","2021","253","79.4","39.7","3.04","136","148","16.5","185","1.93","2.2","366","76.9","101","3.37","188","178","34.16","60"
"278",="5371","中光電","64.6","2021","253","112","197","93","366","470","41.8","75.1","3.31","2.77","615","337","18.3","1.83","373","242","56.66","38"
"279",="2548","華固","90.7","2021","251","23.9","2.24","345","27.9","389","5.47","2.02","","29.6","426","199","40.7","0.98","241","185","66.43","51"
